Abelardo Lupion	PFL	PR	352	IV	318-5352	318-2352	dep.abelardolupion@camara.gov.br
Adão Pretto	PT	RS	271	III	318-5271	318-2271	dep.adaopretto@camara.gov.br
Adauto Pereira	PFL	PB	221	IV	318-5221	318-2221	dep.adautopereira@camara.gov.br
Ademir Lucas	PSDB	MG	586	III	318-5586	318-2586	dep.ademirlucas@camara.gov.br
Adolfo Marinho	PSDB	CE	280	III	318-5280	318-2280	dep.adolfomarinho@camara.gov.br
Aécio Neves	PSDB	MG	648	IV	318-5648	318-2648	dep.aecioneves@camara.gov.br	http://www.camara.gov.br/aecioneves/
Affonso Camargo	PFL	PR	233	IV	318-5233	318-2233	dep.affonsocamargo@camara.gov.br
Agnaldo Muniz	PPS	RO	833	IV	318-5833	318-2833	dep.agnaldomuniz@camara.gov.br
Agnelo Queiroz	PCdoB	DF	379	III	318-5379	318-2379	dep.agneloqueiroz@camara.gov.br
Airton Cascavel	PPS	RR	909	IV	318-5909	318-2909	dep.airtoncascavel@camara.gov.br
Airton Dipp	PDT	RS	556	IV	318-5556	318-2556	dep.airtondipp@camara.gov.br	http://www.bsb.zaz.com.br/web/dipp
Airton Roveda	PSDB	PR	305	IV	318-5305	318-2305	dep.airtonroveda@camara.gov.br
Albérico Cordeiro	PTB	AL	632	IV	318-5632	318-2632	dep.albericocordeiro@camara.gov.br
Albérico Filho	PMDB	MA	740	IV	318-5740	318-2740	dep.albericofilho@camara.gov.br
Alberto Fraga	PMDB	DF	321	IV	318-5321	318-2321	dep.albertofraga@camara.gov.br
Alberto Goldman	PSDB	SP	324	IV	318-5324	318-2324	dep.albertogoldman@camara.gov.br	http://www.camara.gov.br/albertogoldman/
Alberto Mourão	PMDB	SP	478	III	318-5478	318-2478	dep.albertomourao@camara.gov.br
Alceste Almeida	PMDB	RR	902	IV	318-5902	318-2902	dep.alcestealmeida@camara.gov.br
Alceu Collares	PDT	RS	807	IV	318-5807	318-2807	dep.alceucollares@camara.gov.br	http://www.camara.gov.br/alceucollares
Alcione Athayde	PPB	RJ	719	IV	318-5719	318-2719	dep.alcioneathayde@camara.gov.br
Aldir Cabral	PSDB	RJ	904	IV	318-5904	318-2904	dep.aldircabral@camara.gov.br
Aldo Rebelo	PCdoB	SP	924	IV	318-5924	318-2924	dep.aldorebelo@camara.gov.br	http://www.camara.gov.br/aldorebelo
Alex Canziani	PSDB	PR	842	IV	318-5842	318-2842	dep.alexcanziani@camara.gov.br
Alexandre Cardoso	PSB	RJ	205	IV	318-5205	318-2205	dep.alexandrecardoso@camara.gov.br
Alexandre Santos	PSDB	RJ	302	IV	318-5302	318-2302	dep.alexandresantos@camara.gov.br
Almerinda de Carvalho	PFL	RJ	936	IV	318-5936	318-2936	dep.almerindadecarvalho@camara.gov.br
Almir Sá	PPB	RR	238	IV	318-5238	318-2238	dep.almirsa@camara.gov.br
Aloizio Mercadante	PT	SP	825	IV	318-5825	318-2825	dep.mercadante@camara.gov.br	http://www.mercadante.com.br
Aloízio Santos	PSDB	ES	322	IV	318-5322	318-2322	dep.aloiziosantos@camara.gov.br
Ana Catarina	PMDB	RN	213	IV	318-5213	318-2213	dep.anacatarina@camara.gov.br
André Benassi	PSDB	SP	521	IV	318-5521	318-2521	dep.andrebenassi@camara.gov.br
Angela Guadagnin	PT	SP	285	III	318-5285	318-2285	dep.angelaguadagnin@camara.gov.br
Aníbal Gomes	PMDB	CE	731	IV	318-5731	318-2731	dep.anibalgomes@camara.gov.br
Anivaldo Vale	PSDB	PA	570	III	318-5570	318-2570	dep.anivaldovale@camara.gov.br	http://www.camara.gov.br/anivaldovale
Antonio Cambraia	PSDB	CE	658	IV	318-5658	318-2658	dep.antoniocambraia@camara.gov.br
Antônio Carlos Konder Reis	PFL	SC	325	IV	318-5325	318-2325	dep.antoniocarloskonderreis@camara.gov.br
Antonio Carlos Pannunzio	PSDB	SP	225	IV	318-5225	318-2225	dep.antoniocarlospannunzio@camara.gov.br
Antônio do Valle	PMDB	MG	503	IV	318-5503	318-2503	dep.antoniodovalle@camara.gov.br
Antonio Feijão	PSDB	AP	738	IV	318-5738	318-2738	dep.antoniofeijao@camara.gov.br
Antônio Geraldo	PFL	PE	423	IV	318-5423	318-2423	dep.antoniogeraldo@camara.gov.br
Antonio Joaquim Araújo	PPB	MA	202	IV	318-5202	318-2202	dep.antoniojoaquimaraujo@camara.gov.br
Antônio Jorge	PTB	TO	631	IV	318-5631	318-2631	dep.antoniojorge@camara.gov.br
Antonio Kandir	PSDB	SP	656	IV	318-5656	318-2656	dep.antoniokandir@camara.gov.br	http://www.kandir.com.br
Antonio Palocci	PT	SP	715	IV	318-5715	318-2715	dep.antoniopalocci@camara.gov.br
Aracely de Paula	PFL	MG	201	IV	318-5201	318-2201	dep.aracelydepaula@camara.gov.br
Arlindo Chinaglia	PT	SP	706	IV	318-5706	318-2706	dep.arlindochinaglia@camara.gov.br
Armando Abílio	PMDB	PB	805	IV	318-5805	318-2805	dep.armandoabilio@camara.gov.br
Armando Monteiro	PMDB	PE	434	IV	318-5434	318-2434	dep.armandomonteironeto@camara.gov.br
Arnaldo Madeira	PSDB	SP	727	IV	318-5727	318-2727	dep.arnaldomadeira@camara.gov.br
Arnon Bezerra	PSDB	CE	413	IV	318-5413	318-2413	dep.arnonbezerra@camara.gov.br
